School Year,School Level,School ID,School Name,State School ID,Zip Code,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
17-18,Middle School,510,Isaac Litton Middle,365,37216,,,,,,,,134,121,123,116,,,,,1,11,214,58,1,209,250,244,201,74,38,36.2282154457,-86.7221587445,"(36.2282154457, -86.7221587445)"
17-18,Alternative Learning Center,116,W.A. Bass Alternative Learning Center,126,37209,,,,,,,,,,,,12,24,22,12,,,59,7,,4,42,28,41,14,5,36.1545841136,-86.8510016583,"(36.1545841136, -86.8510016583)"
17-18,Non-Traditional,142,Nashville Big Picture High School,53,37209,,,,,,,,,,,,49,29,29,25,,1,76,15,,40,50,82,40,19,2,36.1430883067,-86.8557148572,"(36.1430883067, -86.8557148572)"
17-18,Elementary School,595,Neelys Bend Elementary,515,37115,2,,55,53,58,72,82,,,,,,,,,,1,118,141,,62,175,147,187,35,113,36.2399690605,-86.6735175002,"(36.2399690605, -86.6735175002)"
17-18,Elementary School,135,Bellshire Elementary,45,37207,13,47,61,55,65,60,82,,,,,,,,,,3,313,33,,34,187,196,253,53,34,36.2696876639,-86.7623002629,"(36.2696876639, -86.7623002629)"
17-18,Elementary School,215,Cockrill Elementary,120,37209,10,34,57,54,71,57,54,,,,,,,,,2,10,161,94,1,69,167,170,230,56,68,36.1562064576,-86.8451449272,"(36.1562064576, -86.8451449272)"
17-18,Elementary School,345,Glenview Elementary,265,37217,3,58,123,121,122,120,118,,,,,,,,,,5,123,338,1,198,370,295,409,51,409,36.1275704726,-86.7063679645,"(36.1275704726, -86.7063679645)"
17-18,Charter,669,Rocketship Partners Community Prep,8145,37208,,,18,11,18,,,,,,,,,,,,,46,,,1,26,21,44,1,,36.1749617468,-86.7992479731,"(36.1749617468, -86.7992479731)"
17-18,Elementary School,380,Julia Green Elementary,415,37215,,1,86,84,100,80,76,,,,,,,,,,24,35,9,1,358,228,199,26,42,9,36.1027239829,-86.8331193121,"(36.1027239829, -86.8331193121)"
17-18,Middle School,400,Haynes Middle,305,37207,,,,,,,,58,64,56,63,,,,,,,235,1,,5,113,128,146,43,,36.2076401818,-86.7891140421,"(36.2076401818, -86.7891140421)"
